HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HR,AR
Chievo,Sassuolo,1,1,D,6,12,2,4,2,1,0,2
Milan,Inter,0,0,D,13,14,3,2,7,4,0,0
Torino,Crotone,4,1,H,9,12,5,2,3,3,0,0
Benevento,Juventus,2,4,A,16,15,6,5,9,2,0,0
Roma,Fiorentina,0,2,A,25,4,9,3,9,1,0,0
Sampdoria,Genoa,0,0,D,18,7,4,2,5,1,0,0
Salernitana,Atalanta,1,1,D,8,19,4,6,3,3,0,0
Crotone,Bologna,1,0,H,6,11,5,1,1,5,0,0
Milan,Sassuolo,1,1,D,22,8,8,3,12,3,0,0
Napoli,Chievo,2,1,H,31,4,12,2,14,0,0,0
Torino,Inter,1,0,H,10,15,3,8,1,16,0,0
Udinese,Lazio,1,2,A,10,14,3,4,5,5,0,0
Verona,Cagliari,1,0,H,11,10,4,3,2,9,0,0
Atalanta,Inter,0,0,D,16,10,4,2,8,4,0,0
Cagliari,Udinese,2,1,H,12,7,3,1,7,3,0,0
Chievo,Torino,0,0,D,6,12,0,3,4,4,1,0
Genoa,Crotone,1,0,H,17,10,5,1,5,4,0,0
Bologna,Verona,2,0,H,14,8,6,1,3,4,0,0
Fiorentina,Salernitana,0,0,D,24,4,6,1,8,4,0,0
Juventus,Sampdoria,3,0,H,16,8,5,3,6,8,0,0
Lazio,Roma,0,0,D,7,10,1,1,7,2,1,0
Milan,Napoli,0,0,D,13,15,2,4,11,8,0,0
Sassuolo,Benevento,2,2,D,15,10,3,2,7,1,0,0
Inter,Cagliari,4,0,H,20,0,9,0,10,2,0,0
Benevento,Atalanta,0,3,A,12,12,4,8,6,1,0,0
Crotone,Juventus,1,1,D,9,13,3,4,2,7,0,0
Fiorentina,Lazio,3,4,A,13,17,6,8,0,8,1,1
Napoli,Udinese,4,2,H,18,19,9,5,8,7,0,0
Roma,Genoa,2,1,H,15,5,6,1,7,3,0,0
Sampdoria,Bologna,1,0,H,16,11,2,2,6,6,0,0
Salernitana,Chievo,0,0,D,9,6,1,0,6,2,0,0
Torino,Milan,1,1,D,12,9,5,5,6,6,1,0
Verona,Sassuolo,0,1,A,9,15,2,5,6,5,0,0
Milan,Benevento,0,1,A,21,5,6,1,4,1,0,1
Sassuolo,Fiorentina,1,0,H,10,6,6,1,4,2,0,1
Salernitana,Roma,0,3,A,6,14,3,7,2,3,0,0
